title,director,cast,country,date_added,release_year,rating,listed_in,description,num_of_seasons
"Criminal: France",NULL,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier",NULL,"2019-09-20 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",1
"Criminal: Germany",NULL,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora",Germany,"2019-09-20 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",1
"Criminal: Spain","Mariano Barroso","Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",Spain,"2019-09-20 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",1
"Criminal: UK",NULL,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland","United Kingdom, France, Germany, Spain","2020-09-16 00:00:00",2020,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",2
Cuckoo,NULL,"Andy Samberg, Taylor Lautner, Greg Davies, Helen Baxendale, Tamla Kari, Tyger Drew-Honey, Esther Smith","United Kingdom","2019-04-19 00:00:00",2019,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family.",5
"Cupcake & Dino - General Services",NULL,"Justin Collette, Mark Little, Kyle Dooley, Mark Forward, Joris Jarksy, Julie Lemieux, Kayla Lorette, Julie Sype","Canada, Brazil","2019-05-03 00:00:00",2019,TV-Y7,"Kids' TV, TV Comedies","An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.",2
Curon,NULL,"Valeria Bilello, Luca Lionello, Federico Russo, Margherita Morchio, Anna Ferzetti, Alessandro Tedeschi, Juju Di Domenico, Giulio Brizzi, Max Malatesta",Italy,"2020-06-10 00:00:00",2020,TV-MA,"International TV Shows, TV Dramas, TV Horror","After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy.",1
Cursed,NULL,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman, Sebastian Armesto, Lily Newmark, Shalom Brune-Franklin, Matt Stokoe, Bella Dayne, Peter Mullan, Emily Coates","United Kingdom, Australia","2020-07-17 00:00:00",2020,TV-MA,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Armed with mysterious powers and a legendary sword, young rebel Nimue joins forces with charming mercenary Arthur on a mission to save her people.",1
"Cyborg 009 VS Devilman",NULL,"Jun Fukuyama, Shintaro Asanuma, Haruka Shiraishi, Tomoaki Maeno, M・A・O, Hiroki Touchi, Takeshi Koyama, Yu Mizushima, Hozumi Goda, Ayumu Okamura, Saori Hayami, Satoshi Hino, Johnny Yong Bosch, Bryce Papenbrook, Christine Marie Cabanos, Spike Spencer, Stephanie Sheh, Michael Sinterniklaas, Keith Silverstein, Joey Lotsko, Tony Azzolino, Steve Staley, Cristina Vee, Christopher Corey Smith","Japan, United States","2016-04-01 00:00:00",2015,TV-MA,"Anime Series, International TV Shows","When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of "Devilman" and "Cyborg 009" meet.",1
"Cyborg 009: Call of Justice",NULL,"Keisuke Koumoto, Risa Taneda, Misato Fukuen, Takuya Sato, Satoshi Hino, Kenji Nomura, Mitsuaki Madono, Setsuji Sato, Haruki Ishiya, Ryo Sugisaki, Yui Makino, Kazuhiko Inoue, Yuko Kaida",Japan,"2017-02-10 00:00:00",2017,TV-14,"Anime Series, International TV Shows","Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.",1
"Déjà Vu",NULL,"Mandy Wei, Yao Yuan Hao, Wang Si Ping, Yang Zheng, Jenna Wang, Nylon Chen",NULL,"2019-01-02 00:00:00",2013,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","After losing everything, a prima ballerina accepts a stranger's offer to dial back time and reclaim what was taken from her – but at a great price.",1
"Dérè: An African Tale",NULL,"Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi",NULL,"2020-08-15 00:00:00",2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","After experiencing a tragic loss, a woman must resist a new family dynamic that could control the future of her father's company and her life.",1
"Dad's Army",NULL,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee","United Kingdom","2018-03-31 00:00:00",1977,TV-PG,"British TV Shows, Classic & Cult TV, TV Comedies","This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.",10
Damnation,NULL,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler","United States","2018-11-07 00:00:00",2017,TV-MA,"Crime TV Shows, TV Dramas","During the Great Depression, a stranger with a violent past poses as a preacher and rallies farmers to mount a strike in a rural Iowa community.",1
"Dance & Sing with True",NULL,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",NULL,"2018-05-18 00:00:00",2018,TV-Y,"Kids' TV","True and her friends are making music – and they want you to dance and sing along. So cut loose, silly goose! These fun beats are totally sweet.",1
"Dance Academy",NULL,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Isabel Durant, Thom Green, Jordan Rodrigues, Thomas Lacey, Tim Pocock, Tara Morice",Australia,"2017-12-20 00:00:00",2013,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.",1
"Dancing Angels",NULL,NULL,NULL,"2018-04-27 00:00:00",2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies","A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.",1
"Dancing Queen",NULL,"Justin "Alyssa Edwards" Johnson",NULL,"2018-10-05 00:00:00",2018,TV-14,"Reality TV","Snatching trophies. Getting gorgeous. Turning it up. Alyssa Edwards rules the dance studio by day – and the drag world by night.",1
Dandy,NULL,"Alfonso Herrera, Damián Alcázar, Gabriela Roel, Itahisa Machado, Dagoberto Gama, Hernán Mendoza, Daniel Martínez, Christian Vasquez, Aleyda Gallardo, Danny Perea, Pakey Vázquez, Fátima Molina, Héctor Holten, Carlos Valencia",Mexico,"2018-03-31 00:00:00",2016,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A law professor is enlisted by Mexico's attorney general to join a special operations unit infiltrating the capital's most notorious drug cartel.",1
"Danger Mouse",NULL,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks","United Kingdom","2016-11-09 00:00:00",2016,TV-Y7,"British TV Shows, Kids' TV","The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.",2
"Danger Mouse: Classic Collection",NULL,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman","United Kingdom","2015-06-15 00:00:00",1992,TV-Y,"British TV Shows, Kids' TV, TV Comedies","Follow the adventures of superspy Danger Mouse and his bumbling sidekick, Penfold, as they jet around the world foiling their enemies' evil plots.",10
"Dangerous Roads",NULL,"Adrian Dunbar, Sue Perkins, Charley Boorman, Rhod Gilbert, Greg Davies, Ben Fogle, Hugh Dennis, Ed Byrne, Andy Parsons, Liza Tarbuck, David Baddiel","United Kingdom","2019-02-01 00:00:00",2012,TV-MA,"British TV Shows, Docuseries","Using various 4x4 vehicles, celebrities steer their way across some of the most infamous roads and trickiest terrains on earth.",2
"Daniel Sloss: Live Shows",NULL,"Daniel Sloss","United States","2018-09-11 00:00:00",2018,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.",1
"Dare Me",NULL,"Willa Fitzgerald, Herizen Guardiola, Marlo Kelly, Rob Heaps, Zach Roerig, Paul Fitzgerald, Alison Thornton, Tammy Blanchard, Amanda Brugel, Chris Zylka","United States","2020-12-30 00:00:00",2019,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers","Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy.",1
Dark,NULL,"Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler","Germany, United States","2020-06-27 00:00:00",2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.",3
"Dark Desire",NULL,"Maite Perroni, Erik Hayser, Alejandro Speitzer, María Fernanda Yepes, Jorge Poza, Regina Pavón, Paulina Matos, Leticia Huijara, Claudia Pineda, Esteban Soberanes, Claudia Ríos, Samantha Orozco, Fabián Merlo, Eligio Meléndez, Carmen Beato, Carlos Torres, Toño Valdés",Mexico,"2020-07-15 00:00:00",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",1
"Dark Matter",NULL,"Marc Bendavid, Melissa O'Neil, Anthony Lemke, Alex Mallari Jr., Jodelle Ferland, Roger Cross, Zoie Palmer",Canada,"2017-09-25 00:00:00",2017,TV-PG,"TV Sci-Fi & Fantasy, TV Thrillers","After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination.",3
"Dark Tourist",NULL,NULL,"New Zealand","2018-07-20 00:00:00",2018,TV-MA,"Docuseries, International TV Shows","From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world.",1
"Darr Sabko Lagta Hai",NULL,"Bipasha Basu",India,"2018-03-01 00:00:00",2015,TV-MA,"International TV Shows, TV Horror, TV Thrillers","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences.",1
"DASH & LILY",NULL,"Midori Francis, Austin Abrams, Dante Brown, Troy Iwata","United States","2020-11-10 00:00:00",2020,TV-14,"Romantic TV Shows, TV Comedies, TV Dramas","Opposites attract at Christmas as cynical Dash and sunny Lily trade messages and dares in a red notebook they pass back and forth around New York City.",1
"Dating Around",NULL,NULL,NULL,"2020-06-12 00:00:00",2020,TV-MA,"Reality TV, Romantic TV Shows","In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.",2
"Dating Around: Brazil","Cassia Dian",NULL,Brazil,"2020-07-10 00:00:00",2020,TV-14,"International TV Shows, Reality TV, Romantic TV Shows","In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?",1
"Daughters of Destiny","Vanessa Roth",NULL,"United States","2017-07-28 00:00:00",2017,TV-14,Docuseries,"Five girls from India's most impoverished families attend a boarding school designed to create opportunities as they strive for a brighter future.",1
"Dave Chappelle","Stan Lathan","Dave Chappelle","United States","2017-03-21 00:00:00",2017,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",1
"Dave Chappelle: Equanimity & The Bird Revelation","Stan Lathan","Dave Chappelle","United States","2017-12-31 00:00:00",2017,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy titan Dave Chappelle caps a wild year with two stand-up specials packed with scorching new material, self-reflection and tough love.",1
"Dawai Asmara",NULL,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail",NULL,"2017-12-11 00:00:00",2016,TV-14,"International TV Shows, TV Dramas","Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.",1
"Dawn of the Croods",NULL,"Stephanie Lemelin, A.J. LoCascio, Dan Milano, Grey DeLisle, Cree Summer, Laraine Newman, Chris Parnell, Ana Gasteyer, Dee Bradley Baker, Thomas Lennon, Dominic Catrambone","United States","2017-07-07 00:00:00",2017,TV-Y7,"Kids' TV","The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures.",4
"Dawson's Creek",NULL,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil","United States","2020-11-01 00:00:00",2002,TV-14,"Romantic TV Shows, TV Dramas, Teen TV Shows","This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.",6
"Day and Night",NULL,"Pan Yueming, Wang Longzheng, Liang Yuen, Lü Xiaolin, Yin Shuyi, Hou Xuelong, Song Naigang",China,"2018-03-23 00:00:00",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","A detective assists with an investigation into a brutal mass murder case in which his twin brother is the prime suspect.",1
Daybreak,NULL,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick","United States","2019-10-24 00:00:00",2019,TV-MA,"TV Action & Adventure, TV Comedies, TV Horror","Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",1
"Days We Stared at the Sun",NULL,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung",Taiwan,"2018-03-31 00:00:00",2017,TV-MA,"International TV Shows, TV Dramas","A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.",2
"DC Super Hero Girls",NULL,"Grey Griffin, Tara Strong, Nicole Sullivan, Kari Wahlgren, Myrna Velasco, Kimberly Brooks","United States","2019-08-12 00:00:00",2019,TV-Y7,"Kids' TV","As Metropolis High students, super teens Wonder Woman, Supergirl, Bumblebee, Batgirl, Zatanna, and Green Lantern fight crime, classwork and crushes.",1
"DC's Legends of Tomorrow","Rob Seidenglanz","Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale","United States","2020-06-10 00:00:00",2020,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy","A mysterious "time master" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",5
"Dead Set",NULL,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak","United Kingdom","2016-09-01 00:00:00",2008,TV-MA,"British TV Shows, TV Horror, TV Thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",1
"Dead to Me",NULL,"Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner","United States","2020-05-08 00:00:00",2020,TV-MA,"TV Comedies, TV Dramas","A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.",2
Deadwind,NULL,"Pihla Viitala, Lauri Tilkanen, Jani Volanen, Tommi Korpela, Pirjo Lonka, Riku Nieminen, Pamela Tola, Jonna Järnefelt, Raimo Grönberg","Finland, Germany","2020-07-01 00:00:00",2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.",2
"Deaf U",NULL,NULL,"United States","2020-10-09 00:00:00",2020,TV-MA,Docuseries,"In this reality series, a tight-knit group of Deaf and hard of hearing students share their stories and explore life at Gallaudet University.",1
"Dear My Friends",NULL,"Shin Gu, Kim Yeong-ok, Kim Hye-ja, Na Mun-hee, Ju Hyun, Youn Yuh-jung, Park Won-suk, Go Du-sim, Ko Hyun-jung","South Korea","2020-06-01 00:00:00",2016,TV-MA,"International TV Shows, Korean TV Shows, TV Dramas","Life is ever-delightful — and ever-challenging — for a group of friends in their twilight years as they rediscover themselves through love and family.",1
"Dear White People",NULL,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito","United States","2019-08-02 00:00:00",2019,TV-MA,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as "post-racial" as it thinks.",3
"Death by Magic",NULL,"Drummond Money-Coutts","United States","2018-11-30 00:00:00",2018,TV-PG,"Reality TV","Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians.",1
"Deep Undercover Collection",NULL,"Dave B. Mitchell","United States","2018-07-20 00:00:00",2017,TV-MA,"Crime TV Shows, Docuseries","Former FBI agent Joe Pistone, the real-life "Donnie Brasco," hosts this series that reveals the true stories of undercover crime-fighting operations.",3
"Deep Water",NULL,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor, Danielle Cormack, Ben Oxenbould, Dan Spielman, Craig McLachlan, William McInnes, Olivia McNamara, John Brumpton, Simon Burke, Simon Elrahi, Victoria Haralabidou, Renee Lim, Julian Maroun, George Harrison Xanthis",Australia,"2017-07-01 00:00:00",2016,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Back in Bondi Beach, where she grew up, DC Tori Lustigman investigates a gay man's murder and finds a link to her brother's death decades earlier.",1
"Degrassi: Next Class","Stefan Brogren","Amanda Arcuri, Amir Bageria, Soma Bhatia, Jamie Bloch, Stefan Brogren, Chelsea Clark, Reiya Downs, Ana Golja, Nikki Gould, Ricardo Hoyos, Ehren Kassam, Andre Kim, Lyle Lettau, Spencer MacPherson, Eric Osborne, Dante Scott, Olivia Scriven, Sara Waisglass, Richard Walters",Canada,"2017-07-07 00:00:00",2017,TV-14,"International TV Shows, TV Dramas, Teen TV Shows","Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.",4
"Delhi Crime",NULL,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Adil Hussain, Vinod Sharawat, Mridul Sharma, Gopal Dutt Tiwari, Anurag Arora, Gaurav Rana, Yashaswini Dayama",India,"2019-03-22 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",1
"DeMarcus Family Rules",NULL,NULL,"United States","2020-08-19 00:00:00",2020,TV-14,"Reality TV","Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.",1
"Demon's Path",NULL,"Wai Ai, Jim Chim Sui Man, Kwok-Pong Chan, Felix Lok, Sham Ka Ki, Elanne Kong, Kate Yeung, Ong Yi-hing, Sunny Lau",NULL,"2018-12-22 00:00:00",2018,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",1
"Dennis and Gnasher Unleashed",NULL,"Freddie Fox, Kathryn Drysdale, Rasmus Hardiker, Joanna Ruiz, Ryan Sampson, Kelly Marie Stewart","United Kingdom","2019-05-15 00:00:00",2017,TV-Y,"British TV Shows, Kids' TV, TV Comedies","Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown.",1
Derek,NULL,"Ricky Gervais, Kerry Godliman, Karl Pilkington, David Earl, Kay Noone, Tim Barlow, Arthur Nightingale, Sheila Collings, Margaret Towner, Barry Martin, Prem Modgil, Blanche Williams, Ninette Finch, Brett Goldstein, Ruth Bratt, Holli Dempsey","United Kingdom","2019-04-05 00:00:00",2015,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.",3
"Derry Girls",NULL,"Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell, Dylan Llewellyn, Tara Lynne O'Neill, Kathy Kiera Clarke, Tommy Tiernan, Ian McElhinney, Siobhan McSweeney","United Kingdom","2019-08-02 00:00:00",2019,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",2
"Designated Survivor",NULL,"Kiefer Sutherland, Natascha McElhone, Maggie Q, Kal Penn, Adan Canto, Italia Ricci, LaMonica Garrett, Tanner Buchanan, Ben Lawson, Paulo Costanzo, Zoe McLellan","United States","2019-06-07 00:00:00",2019,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers","America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.",3
"Designated Survivor: 60 Days",NULL,"Ji Jin-hee, Lee Jun-hyuk, Heo Jun-ho, Kang Han-na, Bae Jong-ok, Kim Gyu-ri, Son Suk-ku, Choi Yoon-young, Lee Moo-saeng","South Korea","2019-07-02 00:00:00",2019,TV-14,"International TV Shows, Korean TV Shows, TV Dramas","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu-jin must find a way to lead Korea through the ensuing chaos.",1
Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han",Taiwan,"2020-12-05 00:00:00",2020,TV-MA,"International TV Shows, TV Dramas, TV Horror","A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.",1
"Devilman Crybaby","Masaaki Yuasa","Kouki Uchiyama, Ayumu Murase, Megumi Han, Ami Koshimizu, Atsuko Tanaka, Rikiya Koyama, Avu-chan, Kenjiro Tsuda, KEN THE 390, Subaru Kimura, Young Dais, Hannya, AFRA",Japan,"2018-01-05 00:00:00",2018,TV-MA,"Anime Series, International TV Shows, TV Horror","With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.",1
"Devlok with Devdutt Pattanaik",NULL,"Rasika Dugal, Devdutt Pattanaik",India,"2018-10-15 00:00:00",2017,TV-PG,"International TV Shows","Through chats with host Rasika Dugal, mythologist Devdutt Pattanaik explores the meaning and modern-day relevance of Indian folklore and philosophy.",1
Dexter,NULL,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar, C.S. Lee, Lauren Vélez, Desmond Harrington, Julie Benz, Christina Robinson, Geoff Pierson","United States","2018-01-01 00:00:00",2013,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",8
Dharmakshetra,NULL,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",India,"2018-07-05 00:00:00",2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",1
"Dhia Sofea",NULL,"Amyra Rosli, Fadlan Hazim, Maria Farida, Sharifah Haslinda, Syafiq Kyle, Sasqia Dahuri, Raja Ema, Faye Kusairi, Puteri Octovia, Roy Azman, Norlia Ghani",Malaysia,"2017-12-01 00:00:00",2015,TV-14,"International TV Shows, TV Dramas","After discovering that she was adopted as an infant, a young woman embarks on a perilous quest to connect with her biological mother.",1
Diablero,NULL,"Christopher Von Uckermann, Horacio García Rojas, Gisselle Kuri, Fátima Molina, Dolores Heredia, Humberto Busto, Quetzalli Cortés, Alexa Martin, Flavio Medina, Dulce Neri, Mariana Botas",Mexico,"2020-01-31 00:00:00",2020,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","When a young girl goes missing in a big city, a desperate priest joins a demon hunter and his motley crew on an otherworldly mission to find her.",2
Diagnosis,NULL,"Lisa Sanders","United States","2019-08-16 00:00:00",2019,TV-14,"Docuseries, Science & Nature TV","Dr. Lisa Sanders crowdsources diagnoses for mysterious and rare medical conditions in a documentary series based on her New York Times Magazine column.",1
"Diamond City",NULL,"Noxee Maqashalala, Angela Sithole, Nambitha Ben-Mazwi, Thabang Molaba, Lehlohonolo Makoko, Ilse Klink, Makgano Mamabolo, Tshepo Maseko",NULL,"2020-12-18 00:00:00",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","A prominent prosecuting attorney must defend her innocence — and her life — when she's set up and sent to prison as she investigates a conspiracy.",1
"Diamond Lover",NULL,"Rain, Tiffany Tang, Luo Jin, Dilraba Dilmurat, Yao Yichen",China,"2017-07-07 00:00:00",2015,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas","After an accident leads to great weight loss, once-obese Mi Duo embarks on a new life working for her secret crush, diamond company CEO Xiao Liang.",1
"Dinner for Five",NULL,NULL,"United States","2008-02-04 00:00:00",2007,TV-MA,"Stand-Up Comedy & Talk Shows","In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives.",1
"Dino Girl Gauko",NULL,"Naoko Matsui, Hiroshi Kamiya, Kazue Ikura, Chafurin, Chie Kojiro, Mari Mashiba, Ryoko Shiraishi, Hidekatsu Shibata, Tadashi Miyazawa, Sonosuke Hattori, Karen, Yui Toita, Izu Konishi, Eri Ozaki, Risa Nakamura, Tomoyo Chujo, Takuro Hijioka, Sawako Yoshida, Chika Okubo, Yuri Fujiwara, Tomomi Yamakawa, Hikaru Yuki, Miyako Kobayashi, Mutsuki Arisawa, Koharu Nogata, Tomoka Kuzutani, Madoka Yokoyama, Madoka Hiraide, Ayako Takamura, Yuki Arimoto, Yuto Kazama, Arisa Takami, Chika Sakamoto","United States, Japan","2020-03-20 00:00:00",2020,TV-Y7,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.",2
"Dino Hunt",NULL,NULL,Canada,"2017-08-04 00:00:00",2016,TV-G,"Docuseries, Science & Nature TV","Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.",1
