title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
"Anjelah Johnson: Not Fancy","Jay Karas","Anjelah Johnson-Reyes","United States","2015-10-02 00:00:00",2015,TV-14,"Stand-Up Comedy","The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson.",64
"Ankhon Dekhi","Rajat Kapoor","Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur, Maya Sarao, Chandrachoor Rai, Namit Das, Brijendra Kala, Alka Chawla, Manu Rishi Chadha",India,"2020-09-28 00:00:00",2013,TV-PG,"Dramas, Independent Movies, International Movies","After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",104
"Ankur Arora Murder Case","Sohail Tatari","Kay Kay Menon, Tisca Chopra, Arjun Mathur, Paoli Dam, Vishakha Singh, Manish Chaudhary, Vishesh Tiwari, Harsh Chhaya",India,"2017-10-15 00:00:00",2013,TV-14,"Dramas, International Movies, Thrillers","A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.",127
"Annabelle Hooper and the Ghosts of Nantucket","Paul Serafini","Bailee Madison, Robert Capron, Rachel Resheff, Mavrick Moreno, Whitney Goin, Gary Weeks, Juliana Harkavy, Kevin B. McGlynn, Jamison Stern, Mia Matthews, Bianca Matthews","United States","2017-08-01 00:00:00",2016,TV-PG,"Children & Family Movies","While vacationing on picturesque Nantucket, a crafty teenage mystery writer contends with two thieves as she tries to solve a ghostly conundrum.",92
Anon,"Andrew Niccol","Clive Owen, Amanda Seyfried, Colm Feore, Sonya Walger, Mark O'Brien, Joe Pingue, Iddo Goldberg, Sebastian Pigott, Rachel Roberts, Ethan Tavares","United Kingdom, Canada, United States, Germany","2018-05-04 00:00:00",2018,TV-MA,"Dramas, Sci-Fi & Fantasy, Thrillers","In a future where technology has rendered privacy obsolete, a detective investigates a serial assassin who has been deleted from all visual records.",100
"Another Forever","Juan Zapata","Daniela Escobar, Marlon Moreno, Peter Ketnath, Barbara Scolaro","Brazil, Netherlands, United States, Colombia, Austria, Germany","2017-03-21 00:00:00",2016,TV-PG,"Dramas, Independent Movies, International Movies","Overtaken by the death of her beloved, a grieving woman decides to take a spontaneous trip to visit her friend and get her life back on track.",72
"Ant-Man and the Wasp","Peyton Reed","Paul Rudd, Evangeline Lilly, Michael Douglas, Michael Peña, Hannah John-Kamen, Laurence Fishburne, Michelle Pfeiffer, Walton Goggins, T.I., Judy Greer, Bobby Cannavale, David Dastmalchian, Abby Ryder Fortson, Randall Park","United States","2019-01-29 00:00:00",2018,PG-13,"Action & Adventure, Comedies, Sci-Fi & Fantasy","Problems big and small pop up when Scott Lang, aka Ant-Man, gets drafted by Dr. Hank Pym and Hope van Dyne, aka the Wasp, for an urgent rescue mission.",118
"Antar: Son of Shadad","Sherif Ismail","Mohamed Henedi, Bassem Samra, Dorra Zarrouk, Lotfy Labib",Egypt,"2019-05-09 00:00:00",2017,TV-MA,"Comedies, International Movies","Learning he is the grandson of a famous knight, a young man hilariously fights a rival gang to win over the most beautiful woman in the tribe.",110
"Antariksha Ke Rakhwale","Anirban Majumder","Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rajesh Kawa",NULL,"2019-06-18 00:00:00",2018,TV-Y7,"Children & Family Movies","Space villains have abducted all the superheroes! It’s up to Bheem and his trusty team to save the others.",65
"Anthony Jeselnik: Fire in the Maternity Ward","Marcus Raboy","Anthony Jeselnik","United States","2019-04-30 00:00:00",2019,TV-MA,"Stand-Up Comedy","Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",64
"Anthony Jeselnik: Thoughts and Prayers","Adam Dubin","Anthony Jeselnik","United States","2015-10-16 00:00:00",2015,TV-MA,"Stand-Up Comedy","There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.",59
"Anthony Kaun Hai?","Raj Kaushal","Sanjay Dutt, Arshad Warsi, Minissha Lamba, Raghuvir Yadav, Anusha Dhandekar, Gulshan Grover, Ravi Baswani",India,"2018-07-01 00:00:00",2006,TV-14,"Comedies, Dramas, International Movies","A forger uses a fake identity in trying to retrieve stolen diamonds buried in a penitentiary, unaware a mob assassin is on the trail of his phony alias.",122
Antidote,"Ken Barbet","Randy Couture, Chuck Zito, Wil Traval, Celeste Thornton, Rafael De La Fuente, Alyona Chekhova, Natali Yura, Thom Rivera","United States","2019-04-14 00:00:00",2018,TV-MA,"Action & Adventure, Horror Movies","A tough-as-nails treasure hunter protects a humanitarian doctor as she tries to cure a supernatural disease caused by a mysterious witch.",90
"Antoine Griezmann: The Making of a Legend",NULL,NULL,NULL,"2019-03-21 00:00:00",2019,TV-PG,"Documentaries, International Movies, Sports Movies","With heart and determination, Antoine Griezmann overcame his small stature to become one of the world’s top soccer players and a World Cup champion.",60
Anwar,"Manish Jha","Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,"2019-12-31 00:00:00",2007,TV-14,"Dramas, Independent Movies, International Movies","Seeking refuge in a Hindu temple after the tragic death of the girl he loved, a Muslim youth is caught by the police, who mistake him for an enemy.",134
"Apache Warrior","David Salzberg, Christian Tureaud",NULL,"United States","2019-11-01 00:00:00",2017,TV-MA,Documentaries,"Recovered cockpit footage and telling interviews reveal the true stories of US fighter pilots in one of the largest combat strikes in history.",89
Apaharan,"Prakash Jha","Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan, Mohan Agashe, Mukesh Tiwari, Yashpal Sharma, Anoop Soni, Chetan Pandit",India,"2021-01-08 00:00:00",2005,TV-14,"Dramas, International Movies","Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping.",161
"APEX: The Story of the Hypercar","J.F. Musial, Josh Vietze","Zachary Levi","United States","2016-08-01 00:00:00",2016,NR,Documentaries,"A visionary carmaker introduces his fuel-efficient, high-performance hypercar to a market filled with big-name competitors like Ferrari and Porsche.",86
"Apollo 18","Gonzalo López-Gallego","Warren Christie, Lloyd Owen, Ryan Robbins, Michael Kopsa, Andrew Airlie","United States, Canada","2019-03-09 00:00:00",2011,PG-13,"Horror Movies, Sci-Fi & Fantasy, Thrillers","This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon.",87
Apostle,"Gareth Evans","Dan Stevens, Lucy Boynton, Michael Sheen, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Richard Elfyn, Elen Rhys, Ross O'Hennessy","United Kingdom, United States","2018-10-12 00:00:00",2018,TV-MA,"Horror Movies, International Movies, Thrillers","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",130
"April and the Extraordinary World","Christian Desmares, Franck Ekinci","Angela Galuppo, Paul Giamatti, Susan Sarandon, Tony Hale, J.K. Simmons, Tony Robinow, Mark Camacho, Tod Fennell, Carlos Alazraqui, Kari Wahlgren","France, Canada, Belgium","2017-10-01 00:00:00",2015,PG,"Action & Adventure, Comedies, International Movies","After the world's top scientists disappear, orphaned April secretly forges ahead with a family experiment and gets tangled up in a vast conspiracy.",107
Arès,"Jean-Patrick Benes","Ola Rapace, Micha Lescot, Thierry Hancisse, Hélène Fillières, Ruth Vega Fernandez, Louis-Do de Lencquesaing, Eva Lallier, Emilie Gavois-Kahn",France,"2017-05-23 00:00:00",2016,TV-MA,"Action & Adventure, International Movies, Sci-Fi & Fantasy","A futuristic France tries to keep its people from despair and rebellion over crippling poverty by engaging them with a violent TV competition show.",80
"Aram, Aram","Christopher Chambers","John Roohinian, Levon Sharafyan, Sevak Hakoyan, David Villada, Mike Ghader, Razmik Mansuryan, Lorita Meg, Amy Sanders, Alla Tumanian","United States","2017-02-15 00:00:00",2015,TV-14,"Dramas, Independent Movies","Newly orphaned Aram leaves Beirut to live with his grandfather in Los Angeles, and overwhelmed by culture shock, he falls prey to an Armenian gang.",79
"Arango y Sanint: Ríase el show","Raúl Campos, Jan Suter","Julián Arango, Antonio Sanint",Colombia,"2018-01-17 00:00:00",2018,TV-MA,"Stand-Up Comedy","Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera.",62
"Arctic Dogs","Aaron Woodley","Jeremy Renner, Heidi Klum, James Franco, John Cleese, Omar Sy, Michael Madsen, Laurie Holden, Anjelica Huston, Alec Baldwin, Donny Falsetti","India, United Kingdom, China, Canada, Japan, South Korea, United States","2020-05-04 00:00:00",2019,PG,"Children & Family Movies, Comedies","When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.",93
"Arctic Heart","Marie Madinier","Charlotte Le Bon, Guillaume Canet, Anne Le Ny, Patrick d'Assumçao, Damien Chapelle, Xavier Beauvois, Vincent Launay-Franceschini","France, Belgium","2017-04-14 00:00:00",2016,TV-14,"Dramas, International Movies, Romantic Movies","Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research.",81
"Are We Done Yet?","Khaled El Halafawy","Ahmed Eid, Ayten Amer, Ahmed Fouad Selim, Mohsen Mansour",Egypt,"2019-08-01 00:00:00",2018,TV-14,"Comedies, Dramas, International Movies","When authorities arrest his young son, a taxi driver must convince the courts and rabid media that he's not the criminal they seek.",87
"Ari Eldjárn: Pardon My Icelandic","August Jakobsson","Ari Eldjárn",Iceland,"2020-12-02 00:00:00",2020,TV-MA,"Stand-Up Comedy","In this English-language special, Icelandic comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more.",54
"Ariana grande: excuse me, i love you","Paul Dugdale","Ariana Grande","United States","2020-12-21 00:00:00",2020,TV-MA,"Documentaries, Music & Musicals","Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.",98
"Arisan 2","Nia Dinata","Surya Saputra, Cut Mini Theo, Tora Sudiro",Indonesia,"2018-09-15 00:00:00",2011,TV-14,"Comedies, Dramas, International Movies","A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths.",113
"Arjun: The Warrior Prince","Arnab Chaudhuri","Yudhveer Bakoliya, Ashok Banthia, Ravi Khanwilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Rajeshwari Sachdev, Hemanth Mahaur",India,"2018-11-01 00:00:00",2011,TV-14,"Action & Adventure, Dramas, International Movies","This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.",91
ARQ,"Tony Elliott","Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States","2016-09-16 00:00:00",2016,TV-MA,"International Movies, Sci-Fi & Fantasy, Thrillers","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",89
"Arsenio Hall: Smart & Classy","Brian Volk-Weiss","Arsenio Hall","United States","2019-10-29 00:00:00",2019,TV-MA,"Stand-Up Comedy","In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes.",63
Arthur,"Jason Winer","Russell Brand, Helen Mirren, Greta Gerwig, Jennifer Garner, Geraldine James, Luis Guzmán, Nick Nolte, Christina Jacquelyn Calph, Murphy Guyer, José Ramón Rosario","United States","2019-04-01 00:00:00",2011,PG-13,"Comedies, Romantic Movies","Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.",110
"Arthur Christmas","Sarah Smith","James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Ramona Marquez, Marc Wootton, Laura Linney, Eva Longoria, Michael Palin, Joan Cusack, Deborah Findlay, Rich Fulcher, Sarah Smith, Clint Dyer, Kerry Shale, Stewart Lee, Bronagh Gallagher, Kevin Cecil, Alistair McGowan, David Menkin, Kris Pearn, Ian Ashpitel, Rich Hall, Seeta Indrani, Jane Horrocks, Peter Baynham, Emma Kennedy, Dominic West, Jerry Lambert, Julia Davis, Robbie Coltrane, Iain McKee, Sanjeev Bhaskar, Andy Serkis, Tamsin Greig, Rhys Darby, Seamus Malone, Cody Cameron, David Schneider, Kevin Eldon, Danny John-Jules, Brian Cummings","United Kingdom, United States","2020-01-01 00:00:00",2011,PG,"Children & Family Movies, Comedies","At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.",98
"Article 15","Anubhav Sinha","Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,"2019-09-06 00:00:00",2019,TV-MA,"Dramas, International Movies, Thrillers","The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.",125
"Aruna & Her Palate",Edwin,"Dian Sastrowardoyo, Oka Antara, Hannah Al Rashid, Nicholas Saputra, Deddy Mahendra Desta, Ayu Azhari","Indonesia, South Korea, Singapore","2020-01-01 00:00:00",2018,TV-14,"Dramas, International Movies","An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride.",106
"As Above, So Below","John Erick Dowdle","Perdita Weeks, Ben Feldman, Edwin Hodge, François Civil, Marion Lambert, Ali Marhyar, Cosme Castro, Hamid Djavadan, Théo Cholbi, Emy Lévy","United States","2018-09-16 00:00:00",2014,R,"Horror Movies, Thrillers","A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.",93
"As Good as It Gets","James L. Brooks","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros","United States","2020-01-01 00:00:00",1997,PG-13,"Comedies, Romantic Movies","The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",139
Ascharyachakit!,"Samit Kakkad","Priyanka Bose, Vaibhav Raj Gupta, Santosh Juvekar, Anangsha Biswas, Ankit Raaj, Kashmira Irani, Kailash Waghmare, Vipin Sharma",India,"2018-12-19 00:00:00",2018,TV-MA,"Dramas, Independent Movies, International Movies","Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer.",90
Asees,"Rana Ranbir","Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai",India,"2018-11-01 00:00:00",2018,TV-14,"Dramas, International Movies, Music & Musicals","When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land.",123
Asoka,"Santosh Sivan","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Rahul Dev, Hrishitaa Bhatt, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji",India,"2017-03-15 00:00:00",2001,R,"Action & Adventure, Dramas, International Movies","This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.",168
"Asperger's Are Us","Alex Lehmann","Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi","United States","2016-12-11 00:00:00",2016,TV-MA,Documentaries,"A comedy troupe of four friends on the autism spectrum prepares for a final show before its members go their separate ways.",83
"Asphalt Burning","Hallvard Bræin","Anders Baasmo, Kathrine Thorborg Johansen, Ida Husøy, Otto Jespersen, Sven Nordin, Trond Halbo, Alexandra Maria Lara, Wenche Myhre, Kostja Ullmann, Björn Kjellman",Norway,"2021-01-02 00:00:00",2020,TV-14,"Action & Adventure, Comedies, International Movies","When the brakes slam on his wedding, Roy accepts a challenge from a new foe to race for his runaway bride at the iconic Nürburgring track in Germany.",101
Assimilate,"John Murlowski","Joel Courtney, Calum Worthy, Andi Matichak, Katherine McNamara, Cam Gigandet, Mason McNulty, Terry Dale Parks, Vito Viscuso, Jennifer Pierce Mathus, Kevin Remington","United States","2019-10-25 00:00:00",2019,TV-MA,"Horror Movies, Sci-Fi & Fantasy, Thrillers","A group of friends making a web series about their hometown realize it isn’t as boring as they thought when their neighbors start behaving strangely.",94
"Asu Mare 2","Ricardo Maldonado","Carlos Alcántara, Emilia Drago, Christian Meier, Andrés Salas, Anahí de Cárdenas, Rodrigo Sánchez Patiño, Denisse Dibós, Javier Delgiudice, Ana Cecilia Natteri",Peru,"2016-12-01 00:00:00",2015,TV-14,"Comedies, International Movies","To win the heart of his true love – a high-society girl – a hapless commoner plots to change his identity and avoid his embarrassing friends.",100
"Asura Guru","A. Raajdheep","Vikram Prabhu, Subbaraju, Mahima Nambiar, Yogi Babu, Jagan",India,"2020-06-13 00:00:00",2020,TV-14,"Dramas, International Movies","For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.",117
"Asura: The City of Madness","Sung-soo Kim","Jung-min Hwang, Do-won Kwak, Man-sik Jung, Woo-sung Jung","South Korea","2018-02-15 00:00:00",2016,NR,"Action & Adventure, Dramas, International Movies","Caught between a corrupt mayor and a prosecutor intent on exposing political depravity, a police detective must decide whose side he's on.",133
"At All Costs","Mike Nicoll","Parker Jackson Cartwright, Gabe York","United States","2016-12-14 00:00:00",2016,TV-MA,"Documentaries, Sports Movies","This revealing documentary explores how the high-stakes world of Amateur Athletic Union basketball has professionalized youth sports in America.",81
"At First Light","Jason Stone","Stefanie Scott, Theodore Pellerin, Percy Hynes White, Kate Burton, Saïd Taghmaoui, Kristin Booth, James Wotherspoon",Canada,"2018-12-27 00:00:00",2018,TV-14,"Dramas, Sci-Fi & Fantasy","After mysterious lights imbue her with extraordinary powers, a teenager goes on the run from authorities with the friend who harbors a crush on her.",91
"Athlete A","Bonni Cohen, Jon Shenk",NULL,"United States","2020-06-24 00:00:00",2020,PG-13,"Documentaries, Sports Movies","This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar's abuse and the reporters who exposed USAG's toxic culture.",104
Atlantics,"Mati Diop","Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium","2019-11-29 00:00:00",2019,TV-14,"Dramas, Independent Movies, International Movies","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",106
"Atlas Shrugged: Part II","John Putch","Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian, Kim Rhodes, Richard T. Jones, D.B. Sweeney, Paul McCrane, John Rubinstein, Robert Picardo","United States","2020-12-19 00:00:00",2012,PG-13,Dramas,"With the world's economy in dire straits, corporate protagonist Dagny Taggart searches for a solution amid the rubble of a long-abandoned factory.",112
ATM,"Mez Tharatorn","Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada","2018-09-05 00:00:00",2012,TV-14,"Comedies, International Movies, Romantic Movies","When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",122
"Attacking the Devil: Harold Evans and the Last Nazi War Crime","David Morris, Jacqui Morris","Harold Evans","United Kingdom","2016-05-15 00:00:00",2014,TV-14,"Documentaries, International Movies","Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.",102
"Attitude Test","Fabrizio Copano, Augusto Matte","Belén Soto, Denise Rosenthal, Constanza Piccoli, Fabiola Alarcón, Lucas Balmaceda, Agustín Silva, Camilo Carmona, Ingrid Cruz, Elvis Fuentes, Samuel Landea",Chile,"2018-08-19 00:00:00",2016,TV-14,"Comedies, Independent Movies, International Movies","Four high school seniors steal an important college entrance exam and go on vacation to "study," but accidentally lose the exam while partying.",88
"Audrie & Daisy","Bonni Cohen, Jon Shenk",NULL,"United States","2016-09-23 00:00:00",2016,TV-MA,Documentaries,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",99
Aurora,"Cristi Puiu","Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany","2020-03-04 00:00:00",2010,TV-MA,"Dramas, International Movies","42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce.",186
"Auschwitz: Blueprints of Genocide","Mike Rossiter","Roy Marsden","United Kingdom","2019-01-19 00:00:00",1994,TV-PG,Documentaries,"Newly released KGB files expose evidence proving how architects and engineers conspired with the Nazis to build a camp designed for genocide.",49
"Austin Powers in Goldmember","Jay Roach","Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage","United States","2019-12-01 00:00:00",2002,PG-13,"Action & Adventure, Comedies","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember.",94
"Austin Powers: International Man of Mystery","Jay Roach","Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell","United States","2019-12-01 00:00:00",1997,PG-13,Comedies,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",90
"Austin Powers: The Spy Who Shagged Me","Jay Roach","Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell","United States","2019-12-01 00:00:00",1999,PG-13,"Action & Adventure, Comedies, Sci-Fi & Fantasy","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's "mojo," Austin must return to the swingin' '60s himself.",95
Autohead,"Rohit Mittal","Deepak Sampat, Ronjini Chakroborty, Vikrant Singh, Jhanvi Dwivedi, Ajay Mishra, Rohit Mittal, Sunny Banerjee, Ravidev Singh",India,"2017-01-01 00:00:00",2016,TV-MA,"Dramas, International Movies, Thrillers","A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject.",97
Automata,"Gabe Ibáñez","Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada","2017-09-08 00:00:00",2014,R,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",110
Ava,"Tate Taylor","Jessica Chastain, Colin Farrell, John Malkovich, Common, Geena Davis, Jess Weixler, Diana Silvers, Joan Chen, Ioan Gruffudd","United States","2020-12-07 00:00:00",2020,R,"Action & Adventure, Dramas","An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.",97
"Ave Maryam","Ertanto Robby Soediskam","Maudy Koesnaedi, Chicco Jerikho, Tutie Kirana, Olga Lydia, Joko Anwar, Nathania Angela Widjaja, Sendy Febrina, Suhartini, Atie Krisnawati, Ratnawati Sutandar, Ninik Winarni Utomo",Indonesia,"2020-09-03 00:00:00",2018,TV-PG,"Dramas, International Movies, Romantic Movies","A devoted nun who cares for her elder sisters must choose between upholding her vows or pursuing her forbidden feelings for a fascinating pastor.",73
Avengement,"Jesse V. Johnson","Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles","United Kingdom","2019-09-17 00:00:00",2019,TV-MA,"Action & Adventure","Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.",88
"Avengers: Infinity War","Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland","United States","2018-12-25 00:00:00",2018,PG-13,"Action & Adventure, Sci-Fi & Fantasy","Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.",150
"Avicii: True Stories","Levan Tsikurishvili",Avicii,"Sweden, Netherlands","2018-12-28 00:00:00",2017,TV-MA,"Documentaries, International Movies, Music & Musicals","Follow the meteoric rise of Tim Bergling, aka Avicii, from Swedish teenager to the creative force behind "Wake Me Up," "You Make Me" and other hits.",97
"Await Further Instructions","Johnny Kevorkian","Sam Gittins, Grant Masters, Neerja Naik, Abigail Cruttenden, Kris Saddler, Holly Weston, David Bradley","United Kingdom","2019-02-02 00:00:00",2018,TV-MA,"Horror Movies, Sci-Fi & Fantasy","A family’s tense reunion turns terrifying when they get trapped in their home by an unknown force, and sinister commands begin appearing on their TV.",91
Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr","United States","2019-11-24 00:00:00",2019,TV-MA,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",92
Awe,"Prasanth Varma","Kajal Aggarwal, Nithya Menon, Regina Cassandra, Eesha Rebba, Murli Sharma, Srinivas Avasarala, Priyadarshi Pullikonda",India,"2019-02-15 00:00:00",2018,TV-MA,"Dramas, International Movies, Sci-Fi & Fantasy","Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection.",111
Axone,"Nicholas Kharkongor","Sayani Gupta, Lin Laishram, Tenzing Dalha, Dolly Ahluwalia, Vinay Pathak, Lanuakam Ao, Rohan Joshi, Adil Hussain, Asenla Jamir",India,"2020-06-12 00:00:00",2020,TV-MA,"Comedies, Dramas, Independent Movies","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.",101
Ayana,"Gangadhar Salimath","Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",India,"2019-02-15 00:00:00",2017,TV-MA,"Dramas, International Movies","With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions.",112
"Ayotzinapa, el paso de la tortuga","Enrique García Meza",NULL,Mexico,"2018-12-01 00:00:00",2018,TV-MA,"Documentaries, International Movies","Delving into the disappearance of 43 college students in Mexico, this documentary seeks to give justice and a voice to the victims and their families.",73
Azali,"Kwabena Gyansah","Ama K. Abebrese, Asana Alhassan, Adjetey Anang, Akofa Edjeani Asiedu, Emmanuel Nii Adom Quaye, Peter Ritchie",Ghana,"2020-02-07 00:00:00",2018,TV-14,"Dramas, International Movies","Sent away to evade an arranged marriage, a 14-year-old begins a harrowing journey of sex work and poverty in the slums of Accra.",89
